Submarine,Country,Type,Tier,Weapon Category,Weapon Family,Weapon Variant,Slot,Compatibility,Source
RU_SSN_Akula,Russia,SSN,7,LAM,RU_LAM_Granat,RU_LAM_Granat,MISSILE,PROBABLE,经发射管布放的早期对陆攻击巡航导弹。
RU_SSN_Akula,Russia,SSN,7,TORP,RU_TORP_6576,RU_TORP_6576,TORPEDO,CONFIRMED,650 毫米重型鱼雷。
RU_SSN_Akula,Russia,SSN,7,TORP,RU_TORP_Shkval,RU_TORP_Shkval,TORPEDO,PROBABLE,公开资料显示具备该型鱼雷发射能力。
RU_SSN_Akula,Russia,SSN,7,TORP,RU_TORP_TEST71,RU_TORP_TEST71M,TORPEDO,CONFIRMED,线导反潜鱼雷。
RU_SSN_Akula,Russia,SSN,7,TORP,RU_TORP_UGST,RU_TORP_UGST,TORPEDO,PROBABLE,现代化改装批次。
RU_SSN_Akula,Russia,SSN,7,TORP,RU_TORP_USET80,RU_TORP_USET80,TORPEDO,CONFIRMED,主力通用鱼雷。
RU_SSN_November,Russia,SSN,2,TORP,RU_TORP_5365,RU_TORP_5365K,TORPEDO,PROBABLE,同代反舰鱼雷，逐艇资料不完整。
RU_SSN_November,Russia,SSN,2,TORP,RU_TORP_5365,RU_TORP_5365M,TORPEDO,PROBABLE,同代反舰鱼雷，逐艇资料不完整。
RU_SSN_November,Russia,SSN,2,TORP,RU_TORP_SET53,RU_TORP_SET53,TORPEDO,CONFIRMED,早期电动反潜鱼雷。
RU_SSN_November,Russia,SSN,2,TORP,RU_TORP_SET53,RU_TORP_SET65,TORPEDO,PROBABLE,后期批次换装。
RU_SSN_Sierra,Russia,SSN,6,ASM,RU_ASM_P700,RU_ASM_P700,VLS,PROBABLE,后期批次反舰导弹能力，公开资料不完整。
RU_SSN_Sierra,Russia,SSN,6,ASW,RU_ASW_Vodopad,RU_ASW_Vodopad,MISSILE,CONFIRMED,反潜导弹发射能力。
RU_SSN_Sierra,Russia,SSN,6,TORP,RU_TORP_6576,RU_TORP_6576,TORPEDO,CONFIRMED,650 毫米重型鱼雷。
RU_SSN_Sierra,Russia,SSN,6,TORP,RU_TORP_Shkval,RU_TORP_Shkval,TORPEDO,PROBABLE,公开资料显示部分艇只有该型高速鱼雷。
RU_SSN_Sierra,Russia,SSN,6,TORP,RU_TORP_TEST71,RU_TORP_TEST71M,TORPEDO,CONFIRMED,线导反潜鱼雷。
RU_SSN_Sierra,Russia,SSN,6,TORP,RU_TORP_UGST,RU_TORP_UGST,TORPEDO,PROBABLE,现代化改装后可能换装。
RU_SSN_Sierra,Russia,SSN,6,TORP,RU_TORP_USET80,RU_TORP_USET80,TORPEDO,CONFIRMED,主力通用鱼雷。
RU_SSN_Victor,Russia,SSN,4,ASM,RU_ASM_P70,RU_ASM_P70,MISSILE,PROBABLE,公开资料显示后期批次可用发射管布放该型反舰导弹。
RU_SSN_Victor,Russia,SSN,4,ASW,RU_ASW_Vodopad,RU_ASW_Vodopad,MISSILE,PROBABLE,后期批次具备反潜导弹能力。
RU_SSN_Victor,Russia,SSN,4,DECOY,RU_DECOY_MG74,RU_DECOY_MG74,TORPEDO,PROBABLE,自航式声学诱饵。
RU_SSN_Victor,Russia,SSN,4,TORP,RU_TORP_5365,RU_TORP_5365K,TORPEDO,CONFIRMED,反舰尾流自导鱼雷。
RU_SSN_Victor,Russia,SSN,4,TORP,RU_TORP_6576,RU_TORP_6576,TORPEDO,PROBABLE,部分艇只有 650 毫米发射管。
RU_SSN_Victor,Russia,SSN,4,TORP,RU_TORP_SET53,RU_TORP_SET65,TORPEDO,CONFIRMED,主力电动鱼雷。
RU_SSN_Victor,Russia,SSN,4,TORP,RU_TORP_TEST71,RU_TORP_TEST71,TORPEDO,CONFIRMED,线导反潜鱼雷。
RU_SSN_Victor,Russia,SSN,4,TORP,RU_TORP_USET80,RU_TORP_USET80,TORPEDO,PROBABLE,后期批次换装通用鱼雷。
RU_SSN_Yasen,Russia,SSN,9,ASM,RU_MISSILE_Kalibr,RU_ASM_Kalibr_3M54,VLS,CONFIRMED,垂直发射系统的标准载荷。
RU_SSN_Yasen,Russia,SSN,9,ASM,RU_ASM_Oniks,RU_ASM_Oniks,VLS,CONFIRMED,超音速反舰导弹。
RU_SSN_Yasen,Russia,SSN,9,ASM,RU_ASM_Zircon,RU_ASM_Zircon,VLS,PROBABLE,公开资料显示该级参与过新型高超音速导弹试验。
RU_SSN_Yasen,Russia,SSN,9,DECOY,RU_DECOY_MG74,RU_DECOY_MG74,TORPEDO,PROBABLE,自航式声学诱饵。
RU_SSN_Yasen,Russia,SSN,9,LAM,RU_MISSILE_Kalibr,RU_LAM_Kalibr_3M14,VLS,CONFIRMED,对陆攻击巡航导弹。
RU_SSN_Yasen,Russia,SSN,9,TORP,RU_TORP_Fizik,RU_TORP_Fizik,TORPEDO,PROBABLE,新一代鱼雷，公开资料仍在更新。
RU_SSN_Yasen,Russia,SSN,9,TORP,RU_TORP_Shkval,RU_TORP_Shkval,TORPEDO,PROBABLE,发射管兼容性公开资料有限。
RU_SSN_Yasen,Russia,SSN,9,TORP,RU_TORP_UGST,RU_TORP_UGST,TORPEDO,CONFIRMED,现役主力重型鱼雷。
RU_SSN_Yasen,Russia,SSN,9,TORP,RU_TORP_USET80,RU_TORP_USET80K,TORPEDO,PROBABLE,同代通用鱼雷。
RU_SSN_YasenM,Russia,SSN,10,ASM,RU_MISSILE_Kalibr,RU_ASM_Kalibr_3M54,VLS,CONFIRMED,垂直发射系统载荷。
RU_SSN_YasenM,Russia,SSN,10,ASM,RU_ASM_Oniks,RU_ASM_Oniks,VLS,CONFIRMED,超音速反舰导弹。
RU_SSN_YasenM,Russia,SSN,10,ASM,RU_ASM_Zircon,RU_ASM_Zircon,VLS,PROBABLE,新一代高超音速导弹，逐艇资料仍在更新。
RU_SSN_YasenM,Russia,SSN,10,DECOY,RU_DECOY_MG74,RU_DECOY_MG74,TORPEDO,PROBABLE,自航式声学诱饵。
RU_SSN_YasenM,Russia,SSN,10,LAM,RU_MISSILE_Kalibr,RU_LAM_Kalibr_3M14,VLS,CONFIRMED,对陆攻击巡航导弹。
RU_SSN_YasenM,Russia,SSN,10,TORP,RU_TORP_Fizik,RU_TORP_Fizik,TORPEDO,PROBABLE,新一代鱼雷。
RU_SSN_YasenM,Russia,SSN,10,TORP,RU_TORP_UGST,RU_TORP_UGST_M,TORPEDO,CONFIRMED,改进型重型鱼雷。
UK_SSBN_Dreadnought,UK,SSBN,10,DECOY,UK_DECOY_SSE_Mk3,UK_DECOY_SSE_Mk3,TORPEDO,PROBABLE,自卫对抗装置。
UK_SSBN_Dreadnought,UK,SSBN,10,SLBM,US_SLBM_Trident,US_SLBM_Trident_D5LE,SLBM,CONFIRMED,公开资料确认将搭载延寿型三叉戟，共用美制武器 ID。
UK_SSBN_Dreadnought,UK,SSBN,10,TORP,UK_TORP_Spearfish,UK_TORP_Spearfish_Mod1,TORPEDO,PROBABLE,预计沿用现役鱼雷。
UK_SSBN_Resolution,UK,SSBN,4,SLBM,US_SLBM_Polaris,US_SLBM_Polaris_A3,SLBM,CONFIRMED,英国使用美制北极星 A3（A3TK 构型），共用同一武器 ID。
UK_SSBN_Resolution,UK,SSBN,4,TORP,UK_TORP_Mk8,UK_TORP_Mk8,TORPEDO,CONFIRMED,自卫鱼雷。
UK_SSBN_Resolution,UK,SSBN,4,TORP,UK_TORP_Tigerfish,UK_TORP_Tigerfish,TORPEDO,PROBABLE,后期换装。
UK_SSBN_Vanguard,UK,SSBN,8,SLBM,US_SLBM_Trident,US_SLBM_Trident_D5,SLBM,CONFIRMED,英国使用美制三叉戟 II D5，共用同一武器 ID。
UK_SSBN_Vanguard,UK,SSBN,8,SLBM,US_SLBM_Trident,US_SLBM_Trident_D5LE,SLBM,PROBABLE,延寿批次。
UK_SSBN_Vanguard,UK,SSBN,8,TORP,UK_TORP_Spearfish,UK_TORP_Spearfish,TORPEDO,CONFIRMED,自卫鱼雷。
UK_SSBN_Vanguard,UK,SSBN,8,TORP,UK_TORP_StingRay,UK_TORP_StingRay,TORPEDO,GAMEPLAY,游戏内补充轻型反潜选项。
UK_SSN_AUKUS,UK,SSN,10,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockV,VLS,PROBABLE,预计与现役批次同族。
UK_SSN_AUKUS,UK,SSN,10,TORP,UK_TORP_Spearfish,UK_TORP_Spearfish_Mod1,TORPEDO,PROBABLE,预计沿用现役鱼雷。
UK_SSN_AUKUS,UK,SSN,10,TORP,UK_TORP_StingRay,UK_TORP_StingRay,TORPEDO,GAMEPLAY,计划型号，游戏内补充轻型反潜选项。
UK_SSN_Astute,UK,SSN,9,DECOY,UK_DECOY_SSE_Mk3,UK_DECOY_SSE_Mk3,TORPEDO,PROBABLE,潜用信号发射器。
UK_SSN_Astute,UK,SSN,9,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIII,VLS,PROBABLE,早期批次。
UK_SSN_Astute,UK,SSN,9,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIV,VLS,CONFIRMED,现役对陆攻击巡航导弹。
UK_SSN_Astute,UK,SSN,9,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockV,VLS,PROBABLE,后续采购批次。
UK_SSN_Astute,UK,SSN,9,TORP,UK_TORP_Spearfish,UK_TORP_Spearfish,TORPEDO,CONFIRMED,现役主力重型鱼雷。
UK_SSN_Astute,UK,SSN,9,TORP,UK_TORP_Spearfish,UK_TORP_Spearfish_Mod1,TORPEDO,CONFIRMED,现役升级批次。
UK_SSN_Astute,UK,SSN,9,TORP,UK_TORP_StingRay,UK_TORP_StingRay,TORPEDO,GAMEPLAY,公开资料以反潜机与水面舰为主，潜艇发射为游戏内假设。
UK_SSN_Dreadnought,UK,SSN,2,TORP,UK_TORP_Mk8,UK_TORP_Mk8,TORPEDO,CONFIRMED,服役初期主力鱼雷。
UK_SSN_Dreadnought,UK,SSN,2,TORP,UK_TORP_Tigerfish,UK_TORP_Tigerfish,TORPEDO,PROBABLE,后期换装线导鱼雷。
UK_SSN_Swiftsure,UK,SSN,5,ASM,US_ASM_Harpoon,US_ASM_Harpoon,MISSILE,PROBABLE,潜射反舰导弹。
UK_SSN_Swiftsure,UK,SSN,5,DECOY,UK_DECOY_SSE_Mk3,UK_DECOY_SSE_Mk3,TORPEDO,PROBABLE,潜用信号发射器。
UK_SSN_Swiftsure,UK,SSN,5,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIII,VLS,PROBABLE,部分艇只获得对陆攻击能力。
UK_SSN_Swiftsure,UK,SSN,5,TORP,UK_TORP_Spearfish,UK_TORP_Spearfish,TORPEDO,CONFIRMED,换装重型鱼雷。
UK_SSN_Swiftsure,UK,SSN,5,TORP,UK_TORP_Tigerfish,UK_TORP_Tigerfish,TORPEDO,CONFIRMED,主力线导鱼雷。
UK_SSN_Trafalgar,UK,SSN,6,ASM,US_ASM_Harpoon,US_ASM_Harpoon,MISSILE,PROBABLE,潜射反舰导弹。
UK_SSN_Trafalgar,UK,SSN,6,DECOY,UK_DECOY_SSE_Mk3,UK_DECOY_SSE_Mk3,TORPEDO,PROBABLE,潜用信号发射器。
UK_SSN_Trafalgar,UK,SSN,6,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIII,VLS,CONFIRMED,对陆攻击巡航导弹。
UK_SSN_Trafalgar,UK,SSN,6,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIV,VLS,PROBABLE,后期换装批次。
