submarine,country,type,class,platform_tier,ESM,THREAT_WARNING,ACOUSTIC_COUNTERMEASURE,DECOY,NOISE_MAKER,TORPEDO_DEFENSE,LAUNCHER,DEFENSIVE_CONTROL,INTEGRATED_DEFENSE,confirmed,probable,gameplay,unknown,incompatible
RU_SSBN_Borei,Russia,SSBN,Borei,9,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
RU_SSBN_BoreiA,Russia,SSBN,Borei-A,10,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
UK_SSN_Dreadnought,UK,SSN,Dreadnought,2,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),UNKNOWN (4),GAMEPLAY (5),GAMEPLAY (3),INCOMPATIBLE (2),0,0,15,11,19
UK_SSN_Valiant,UK,SSN,Valiant,3,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,21,10,14
UK_SSN_Swiftsure,UK,SSN,Swiftsure,5,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,31,10,4
UK_SSN_Trafalgar,UK,SSN,Trafalgar,6,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,36,8,1
UK_SSN_Astute,UK,SSN,Astute,9,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
UK_SSN_AUKUS,UK,SSN,SSN-AUKUS,10,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
UK_SSBN_Resolution,UK,SSBN,Resolution,4,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,26,10,9
UK_SSBN_Vanguard,UK,SSBN,Vanguard,8,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,44,1,0
UK_SSBN_Dreadnought,UK,SSBN,Dreadnought,10,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
FR_SSN_Rubis,France,SSN,Rubis,6,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,36,8,1
FR_SSN_Suffren,France,SSN,Suffren,9,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
FR_SSBN_LeRedoutable,France,SSBN,Le Redoutable,4,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,26,10,9
FR_SSBN_LeTriomphant,France,SSBN,Le Triomphant,8,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,44,1,0
FR_SSBN_SNLE3G,France,SSBN,SNLE 3G,10,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
CN_SSN_Type091,China,SSN,Type 091,4,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,26,10,9
CN_SSN_Type093,China,SSN,Type 093,7,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,41,4,0
CN_SSN_Type093A,China,SSN,Type 093A,8,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,44,1,0
CN_SSN_Type093B,China,SSN,Type 093B,9,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
CN_SSN_Type095,China,SSN,Type 095,10,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
CN_SSBN_Type092,China,SSBN,Type 092,5,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,31,10,4
CN_SSBN_Type094,China,SSBN,Type 094,8,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,44,1,0
CN_SSBN_Type094A,China,SSBN,Type 094A,9,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
CN_SSBN_Type096,China,SSBN,Type 096,10,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
IN_SSBN_Arihant,India,SSBN,Arihant,7,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,41,4,0
IN_SSBN_Arighaat,India,SSBN,Arighaat,8,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,44,1,0
IN_SSBN_S4,India,SSBN,S4,9,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
IN_SSBN_S5,India,SSBN,S5,10,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
