submarine_id,country,type,PASSIVE,ACTIVE,BOW,FLANK,TOWED,HF,MINE,NAV,PHOTONICS,EOIR,RADAR,ESM,PROCESSING
US_SSBN_Ohio,USA,SSBN,GEN_SONAR_PSV_T8:GAMEPLAY,GEN_SONAR_ACT_T8:GAMEPLAY,US_SONAR_BQQ6:PROBABLE,GEN_SONAR_FLK_T8:GAMEPLAY,GEN_SONAR_TWD_T8:GAMEPLAY,US_SONAR_BQS15:PROBABLE,GEN_SONAR_MINE_T8:GAMEPLAY,GEN_SONAR_NAV_T8:GAMEPLAY,GEN_MAST_PHO_T8:GAMEPLAY,GEN_EOIR_T8:GAMEPLAY,US_RADAR_BPS16:CONFIRMED,GEN_ESM_T8:GAMEPLAY,GEN_PROC_T8:GAMEPLAY
US_SSBN_Columbia,USA,SSBN,GEN_SONAR_PSV_T10:GAMEPLAY,GEN_SONAR_ACT_T10:GAMEPLAY,GEN_SONAR_BOW_T10:GAMEPLAY,GEN_SONAR_FLK_T10:GAMEPLAY,GEN_SONAR_TWD_T10:GAMEPLAY,GEN_SONAR_HF_T10:GAMEPLAY,GEN_SONAR_MINE_T10:GAMEPLAY,GEN_SONAR_NAV_T10:GAMEPLAY,GEN_MAST_PHO_T10:GAMEPLAY,GEN_EOIR_T10:GAMEPLAY,GEN_RADAR_T10:GAMEPLAY,GEN_ESM_T10:GAMEPLAY,GEN_PROC_T10:GAMEPLAY
RU_SSN_November,Russia,SSN,GEN_SONAR_PSV_T2:GAMEPLAY,GEN_SONAR_ACT_T2:GAMEPLAY,GEN_SONAR_BOW_T2:GAMEPLAY,GEN_SONAR_FLK_T2:GAMEPLAY,GEN_SONAR_TWD_T2:GAMEPLAY,GEN_SONAR_HF_T2:GAMEPLAY,GEN_SONAR_MINE_T2:GAMEPLAY,GEN_SONAR_NAV_T2:GAMEPLAY,GEN_MAST_PHO_T2:GAMEPLAY,GEN_EOIR_T2:GAMEPLAY,GEN_RADAR_T2:GAMEPLAY,GEN_ESM_T2:GAMEPLAY,GEN_PROC_T2:GAMEPLAY
RU_SSN_Victor,Russia,SSN,GEN_SONAR_PSV_T4:GAMEPLAY,GEN_SONAR_ACT_T4:GAMEPLAY,GEN_SONAR_BOW_T4:GAMEPLAY,GEN_SONAR_FLK_T4:GAMEPLAY,GEN_SONAR_TWD_T4:GAMEPLAY,GEN_SONAR_HF_T4:GAMEPLAY,GEN_SONAR_MINE_T4:GAMEPLAY,GEN_SONAR_NAV_T4:GAMEPLAY,GEN_MAST_PHO_T4:GAMEPLAY,GEN_EOIR_T4:GAMEPLAY,GEN_RADAR_T4:GAMEPLAY,GEN_ESM_T4:GAMEPLAY,GEN_PROC_T4:GAMEPLAY
RU_SSN_Sierra,Russia,SSN,GEN_SONAR_PSV_T6:GAMEPLAY,GEN_SONAR_ACT_T6:GAMEPLAY,GEN_SONAR_BOW_T6:GAMEPLAY,GEN_SONAR_FLK_T6:GAMEPLAY,GEN_SONAR_TWD_T6:GAMEPLAY,GEN_SONAR_HF_T6:GAMEPLAY,GEN_SONAR_MINE_T6:GAMEPLAY,GEN_SONAR_NAV_T6:GAMEPLAY,GEN_MAST_PHO_T6:GAMEPLAY,GEN_EOIR_T6:GAMEPLAY,GEN_RADAR_T6:GAMEPLAY,GEN_ESM_T6:GAMEPLAY,GEN_PROC_T6:GAMEPLAY
RU_SSN_Akula,Russia,SSN,GEN_SONAR_PSV_T7:GAMEPLAY,GEN_SONAR_ACT_T7:GAMEPLAY,RU_SONAR_MGK540:PROBABLE,GEN_SONAR_FLK_T7:GAMEPLAY,RU_SONAR_Pelamida:PROBABLE,GEN_SONAR_HF_T7:GAMEPLAY,GEN_SONAR_MINE_T7:GAMEPLAY,GEN_SONAR_NAV_T7:GAMEPLAY,GEN_MAST_PHO_T7:GAMEPLAY,GEN_EOIR_T7:GAMEPLAY,GEN_RADAR_T7:GAMEPLAY,GEN_ESM_T7:GAMEPLAY,GEN_PROC_T7:GAMEPLAY
RU_SSN_Yasen,Russia,SSN,GEN_SONAR_PSV_T9:GAMEPLAY,GEN_SONAR_ACT_T9:GAMEPLAY,RU_SONAR_Yasen:PROBABLE,GEN_SONAR_FLK_T9:GAMEPLAY,GEN_SONAR_TWD_T9:GAMEPLAY,GEN_SONAR_HF_T9:GAMEPLAY,GEN_SONAR_MINE_T9:GAMEPLAY,GEN_SONAR_NAV_T9:GAMEPLAY,GEN_MAST_PHO_T9:GAMEPLAY,GEN_EOIR_T9:GAMEPLAY,RU_RADAR_MRK50:PROBABLE,RU_ESM_RimHat:PROBABLE,GEN_PROC_T9:GAMEPLAY
RU_SSN_YasenM,Russia,SSN,GEN_SONAR_PSV_T10:GAMEPLAY,GEN_SONAR_ACT_T10:GAMEPLAY,RU_SONAR_Yasen:PROBABLE,GEN_SONAR_FLK_T10:GAMEPLAY,GEN_SONAR_TWD_T10:GAMEPLAY,GEN_SONAR_HF_T10:GAMEPLAY,GEN_SONAR_MINE_T10:GAMEPLAY,GEN_SONAR_NAV_T10:GAMEPLAY,GEN_MAST_PHO_T10:GAMEPLAY,GEN_EOIR_T10:GAMEPLAY,RU_RADAR_MRK50:PROBABLE,RU_ESM_RimHat:PROBABLE,GEN_PROC_T10:GAMEPLAY
RU_SSBN_Hotel,Russia,SSBN,GEN_SONAR_PSV_T2:GAMEPLAY,GEN_SONAR_ACT_T2:GAMEPLAY,GEN_SONAR_BOW_T2:GAMEPLAY,GEN_SONAR_FLK_T2:GAMEPLAY,GEN_SONAR_TWD_T2:GAMEPLAY,GEN_SONAR_HF_T2:GAMEPLAY,GEN_SONAR_MINE_T2:GAMEPLAY,GEN_SONAR_NAV_T2:GAMEPLAY,GEN_MAST_PHO_T2:GAMEPLAY,GEN_EOIR_T2:GAMEPLAY,GEN_RADAR_T2:GAMEPLAY,GEN_ESM_T2:GAMEPLAY,GEN_PROC_T2:GAMEPLAY
RU_SSBN_Yankee,Russia,SSBN,GEN_SONAR_PSV_T4:GAMEPLAY,GEN_SONAR_ACT_T4:GAMEPLAY,GEN_SONAR_BOW_T4:GAMEPLAY,GEN_SONAR_FLK_T4:GAMEPLAY,GEN_SONAR_TWD_T4:GAMEPLAY,GEN_SONAR_HF_T4:GAMEPLAY,GEN_SONAR_MINE_T4:GAMEPLAY,GEN_SONAR_NAV_T4:GAMEPLAY,GEN_MAST_PHO_T4:GAMEPLAY,GEN_EOIR_T4:GAMEPLAY,GEN_RADAR_T4:GAMEPLAY,GEN_ESM_T4:GAMEPLAY,GEN_PROC_T4:GAMEPLAY
RU_SSBN_DeltaI,Russia,SSBN,GEN_SONAR_PSV_T5:GAMEPLAY,GEN_SONAR_ACT_T5:GAMEPLAY,GEN_SONAR_BOW_T5:GAMEPLAY,GEN_SONAR_FLK_T5:GAMEPLAY,GEN_SONAR_TWD_T5:GAMEPLAY,GEN_SONAR_HF_T5:GAMEPLAY,GEN_SONAR_MINE_T5:GAMEPLAY,GEN_SONAR_NAV_T5:GAMEPLAY,GEN_MAST_PHO_T5:GAMEPLAY,GEN_EOIR_T5:GAMEPLAY,GEN_RADAR_T5:GAMEPLAY,GEN_ESM_T5:GAMEPLAY,GEN_PROC_T5:GAMEPLAY
RU_SSBN_DeltaII,Russia,SSBN,GEN_SONAR_PSV_T5:GAMEPLAY,GEN_SONAR_ACT_T5:GAMEPLAY,GEN_SONAR_BOW_T5:GAMEPLAY,GEN_SONAR_FLK_T5:GAMEPLAY,GEN_SONAR_TWD_T5:GAMEPLAY,GEN_SONAR_HF_T5:GAMEPLAY,GEN_SONAR_MINE_T5:GAMEPLAY,GEN_SONAR_NAV_T5:GAMEPLAY,GEN_MAST_PHO_T5:GAMEPLAY,GEN_EOIR_T5:GAMEPLAY,GEN_RADAR_T5:GAMEPLAY,GEN_ESM_T5:GAMEPLAY,GEN_PROC_T5:GAMEPLAY
RU_SSBN_DeltaIII,Russia,SSBN,GEN_SONAR_PSV_T6:GAMEPLAY,GEN_SONAR_ACT_T6:GAMEPLAY,GEN_SONAR_BOW_T6:GAMEPLAY,GEN_SONAR_FLK_T6:GAMEPLAY,GEN_SONAR_TWD_T6:GAMEPLAY,GEN_SONAR_HF_T6:GAMEPLAY,GEN_SONAR_MINE_T6:GAMEPLAY,GEN_SONAR_NAV_T6:GAMEPLAY,GEN_MAST_PHO_T6:GAMEPLAY,GEN_EOIR_T6:GAMEPLAY,GEN_RADAR_T6:GAMEPLAY,GEN_ESM_T6:GAMEPLAY,GEN_PROC_T6:GAMEPLAY
RU_SSBN_DeltaIV,Russia,SSBN,GEN_SONAR_PSV_T7:GAMEPLAY,GEN_SONAR_ACT_T7:GAMEPLAY,GEN_SONAR_BOW_T7:GAMEPLAY,GEN_SONAR_FLK_T7:GAMEPLAY,GEN_SONAR_TWD_T7:GAMEPLAY,GEN_SONAR_HF_T7:GAMEPLAY,GEN_SONAR_MINE_T7:GAMEPLAY,GEN_SONAR_NAV_T7:GAMEPLAY,GEN_MAST_PHO_T7:GAMEPLAY,GEN_EOIR_T7:GAMEPLAY,GEN_RADAR_T7:GAMEPLAY,GEN_ESM_T7:GAMEPLAY,GEN_PROC_T7:GAMEPLAY
RU_SSBN_Typhoon,Russia,SSBN,GEN_SONAR_PSV_T8:GAMEPLAY,GEN_SONAR_ACT_T8:GAMEPLAY,GEN_SONAR_BOW_T8:GAMEPLAY,GEN_SONAR_FLK_T8:GAMEPLAY,GEN_SONAR_TWD_T8:GAMEPLAY,GEN_SONAR_HF_T8:GAMEPLAY,GEN_SONAR_MINE_T8:GAMEPLAY,GEN_SONAR_NAV_T8:GAMEPLAY,GEN_MAST_PHO_T8:GAMEPLAY,GEN_EOIR_T8:GAMEPLAY,GEN_RADAR_T8:GAMEPLAY,GEN_ESM_T8:GAMEPLAY,GEN_PROC_T8:GAMEPLAY
RU_SSBN_Borei,Russia,SSBN,GEN_SONAR_PSV_T9:GAMEPLAY,GEN_SONAR_ACT_T9:GAMEPLAY,GEN_SONAR_BOW_T9:GAMEPLAY,GEN_SONAR_FLK_T9:GAMEPLAY,GEN_SONAR_TWD_T9:GAMEPLAY,GEN_SONAR_HF_T9:GAMEPLAY,GEN_SONAR_MINE_T9:GAMEPLAY,GEN_SONAR_NAV_T9:GAMEPLAY,GEN_MAST_PHO_T9:GAMEPLAY,GEN_EOIR_T9:GAMEPLAY,GEN_RADAR_T9:GAMEPLAY,GEN_ESM_T9:GAMEPLAY,GEN_PROC_T9:GAMEPLAY
RU_SSBN_BoreiA,Russia,SSBN,GEN_SONAR_PSV_T10:GAMEPLAY,GEN_SONAR_ACT_T10:GAMEPLAY,GEN_SONAR_BOW_T10:GAMEPLAY,GEN_SONAR_FLK_T10:GAMEPLAY,GEN_SONAR_TWD_T10:GAMEPLAY,GEN_SONAR_HF_T10:GAMEPLAY,GEN_SONAR_MINE_T10:GAMEPLAY,GEN_SONAR_NAV_T10:GAMEPLAY,GEN_MAST_PHO_T10:GAMEPLAY,GEN_EOIR_T10:GAMEPLAY,GEN_RADAR_T10:GAMEPLAY,GEN_ESM_T10:GAMEPLAY,GEN_PROC_T10:GAMEPLAY
UK_SSN_Dreadnought,UK,SSN,GEN_SONAR_PSV_T2:GAMEPLAY,GEN_SONAR_ACT_T2:GAMEPLAY,GEN_SONAR_BOW_T2:GAMEPLAY,GEN_SONAR_FLK_T2:GAMEPLAY,GEN_SONAR_TWD_T2:GAMEPLAY,GEN_SONAR_HF_T2:GAMEPLAY,GEN_SONAR_MINE_T2:GAMEPLAY,GEN_SONAR_NAV_T2:GAMEPLAY,GEN_MAST_PHO_T2:GAMEPLAY,GEN_EOIR_T2:GAMEPLAY,GEN_RADAR_T2:GAMEPLAY,GEN_ESM_T2:GAMEPLAY,GEN_PROC_T2:GAMEPLAY
UK_SSN_Valiant,UK,SSN,GEN_SONAR_PSV_T3:GAMEPLAY,GEN_SONAR_ACT_T3:GAMEPLAY,GEN_SONAR_BOW_T3:GAMEPLAY,GEN_SONAR_FLK_T3:GAMEPLAY,GEN_SONAR_TWD_T3:GAMEPLAY,GEN_SONAR_HF_T3:GAMEPLAY,GEN_SONAR_MINE_T3:GAMEPLAY,GEN_SONAR_NAV_T3:GAMEPLAY,GEN_MAST_PHO_T3:GAMEPLAY,GEN_EOIR_T3:GAMEPLAY,GEN_RADAR_T3:GAMEPLAY,GEN_ESM_T3:GAMEPLAY,GEN_PROC_T3:GAMEPLAY
UK_SSN_Swiftsure,UK,SSN,GEN_SONAR_PSV_T5:GAMEPLAY,GEN_SONAR_ACT_T5:GAMEPLAY,UK_SONAR_2074:PROBABLE,GEN_SONAR_FLK_T5:GAMEPLAY,GEN_SONAR_TWD_T5:GAMEPLAY,GEN_SONAR_HF_T5:GAMEPLAY,GEN_SONAR_MINE_T5:GAMEPLAY,GEN_SONAR_NAV_T5:GAMEPLAY,GEN_MAST_PHO_T5:GAMEPLAY,GEN_EOIR_T5:GAMEPLAY,GEN_RADAR_T5:GAMEPLAY,GEN_ESM_T5:GAMEPLAY,GEN_PROC_T5:GAMEPLAY
UK_SSN_Trafalgar,UK,SSN,GEN_SONAR_PSV_T6:GAMEPLAY,GEN_SONAR_ACT_T6:GAMEPLAY,UK_SONAR_2074:PROBABLE,GEN_SONAR_FLK_T6:GAMEPLAY,GEN_SONAR_TWD_T6:GAMEPLAY,GEN_SONAR_HF_T6:GAMEPLAY,GEN_SONAR_MINE_T6:GAMEPLAY,GEN_SONAR_NAV_T6:GAMEPLAY,GEN_MAST_PHO_T6:GAMEPLAY,GEN_EOIR_T6:GAMEPLAY,GEN_RADAR_T6:GAMEPLAY,GEN_ESM_T6:GAMEPLAY,GEN_PROC_T6:GAMEPLAY
UK_SSN_Astute,UK,SSN,GEN_SONAR_PSV_T9:GAMEPLAY,GEN_SONAR_ACT_T9:GAMEPLAY,UK_SONAR_Astute:PROBABLE,GEN_SONAR_FLK_T9:GAMEPLAY,GEN_SONAR_TWD_T9:GAMEPLAY,GEN_SONAR_HF_T9:GAMEPLAY,GEN_SONAR_MINE_T9:GAMEPLAY,GEN_SONAR_NAV_T9:GAMEPLAY,UK_PHO_CM010:CONFIRMED,GEN_EOIR_T9:GAMEPLAY,GEN_RADAR_T9:GAMEPLAY,GEN_ESM_T9:GAMEPLAY,GEN_PROC_T9:GAMEPLAY
UK_SSN_AUKUS,UK,SSN,GEN_SONAR_PSV_T10:GAMEPLAY,GEN_SONAR_ACT_T10:GAMEPLAY,GEN_SONAR_BOW_T10:GAMEPLAY,GEN_SONAR_FLK_T10:GAMEPLAY,GEN_SONAR_TWD_T10:GAMEPLAY,GEN_SONAR_HF_T10:GAMEPLAY,GEN_SONAR_MINE_T10:GAMEPLAY,GEN_SONAR_NAV_T10:GAMEPLAY,GEN_MAST_PHO_T10:GAMEPLAY,GEN_EOIR_T10:GAMEPLAY,GEN_RADAR_T10:GAMEPLAY,GEN_ESM_T10:GAMEPLAY,GEN_PROC_T10:GAMEPLAY
UK_SSBN_Resolution,UK,SSBN,GEN_SONAR_PSV_T4:GAMEPLAY,GEN_SONAR_ACT_T4:GAMEPLAY,GEN_SONAR_BOW_T4:GAMEPLAY,GEN_SONAR_FLK_T4:GAMEPLAY,GEN_SONAR_TWD_T4:GAMEPLAY,GEN_SONAR_HF_T4:GAMEPLAY,GEN_SONAR_MINE_T4:GAMEPLAY,GEN_SONAR_NAV_T4:GAMEPLAY,GEN_MAST_PHO_T4:GAMEPLAY,GEN_EOIR_T4:GAMEPLAY,GEN_RADAR_T4:GAMEPLAY,GEN_ESM_T4:GAMEPLAY,GEN_PROC_T4:GAMEPLAY
UK_SSBN_Vanguard,UK,SSBN,GEN_SONAR_PSV_T8:GAMEPLAY,GEN_SONAR_ACT_T8:GAMEPLAY,GEN_SONAR_BOW_T8:GAMEPLAY,GEN_SONAR_FLK_T8:GAMEPLAY,GEN_SONAR_TWD_T8:GAMEPLAY,GEN_SONAR_HF_T8:GAMEPLAY,GEN_SONAR_MINE_T8:GAMEPLAY,GEN_SONAR_NAV_T8:GAMEPLAY,GEN_MAST_PHO_T8:GAMEPLAY,GEN_EOIR_T8:GAMEPLAY,GEN_RADAR_T8:GAMEPLAY,GEN_ESM_T8:GAMEPLAY,GEN_PROC_T8:GAMEPLAY
UK_SSBN_Dreadnought,UK,SSBN,GEN_SONAR_PSV_T10:GAMEPLAY,GEN_SONAR_ACT_T10:GAMEPLAY,GEN_SONAR_BOW_T10:GAMEPLAY,GEN_SONAR_FLK_T10:GAMEPLAY,GEN_SONAR_TWD_T10:GAMEPLAY,GEN_SONAR_HF_T10:GAMEPLAY,GEN_SONAR_MINE_T10:GAMEPLAY,GEN_SONAR_NAV_T10:GAMEPLAY,GEN_MAST_PHO_T10:GAMEPLAY,GEN_EOIR_T10:GAMEPLAY,GEN_RADAR_T10:GAMEPLAY,GEN_ESM_T10:GAMEPLAY,GEN_PROC_T10:GAMEPLAY
FR_SSN_Rubis,France,SSN,GEN_SONAR_PSV_T6:GAMEPLAY,GEN_SONAR_ACT_T6:GAMEPLAY,GEN_SONAR_BOW_T6:GAMEPLAY,GEN_SONAR_FLK_T6:GAMEPLAY,GEN_SONAR_TWD_T6:GAMEPLAY,GEN_SONAR_HF_T6:GAMEPLAY,GEN_SONAR_MINE_T6:GAMEPLAY,GEN_SONAR_NAV_T6:GAMEPLAY,GEN_MAST_PHO_T6:GAMEPLAY,GEN_EOIR_T6:GAMEPLAY,GEN_RADAR_T6:GAMEPLAY,GEN_ESM_T6:GAMEPLAY,GEN_PROC_T6:GAMEPLAY
FR_SSN_Suffren,France,SSN,GEN_SONAR_PSV_T9:GAMEPLAY,GEN_SONAR_ACT_T9:GAMEPLAY,GEN_SONAR_BOW_T9:GAMEPLAY,GEN_SONAR_FLK_T9:GAMEPLAY,GEN_SONAR_TWD_T9:GAMEPLAY,GEN_SONAR_HF_T9:GAMEPLAY,GEN_SONAR_MINE_T9:GAMEPLAY,GEN_SONAR_NAV_T9:GAMEPLAY,GEN_MAST_PHO_T9:GAMEPLAY,GEN_EOIR_T9:GAMEPLAY,GEN_RADAR_T9:GAMEPLAY,GEN_ESM_T9:GAMEPLAY,GEN_PROC_T9:GAMEPLAY
FR_SSBN_LeRedoutable,France,SSBN,GEN_SONAR_PSV_T4:GAMEPLAY,GEN_SONAR_ACT_T4:GAMEPLAY,GEN_SONAR_BOW_T4:GAMEPLAY,GEN_SONAR_FLK_T4:GAMEPLAY,GEN_SONAR_TWD_T4:GAMEPLAY,GEN_SONAR_HF_T4:GAMEPLAY,GEN_SONAR_MINE_T4:GAMEPLAY,GEN_SONAR_NAV_T4:GAMEPLAY,GEN_MAST_PHO_T4:GAMEPLAY,GEN_EOIR_T4:GAMEPLAY,GEN_RADAR_T4:GAMEPLAY,GEN_ESM_T4:GAMEPLAY,GEN_PROC_T4:GAMEPLAY
FR_SSBN_LeTriomphant,France,SSBN,GEN_SONAR_PSV_T8:GAMEPLAY,GEN_SONAR_ACT_T8:GAMEPLAY,GEN_SONAR_BOW_T8:GAMEPLAY,GEN_SONAR_FLK_T8:GAMEPLAY,GEN_SONAR_TWD_T8:GAMEPLAY,GEN_SONAR_HF_T8:GAMEPLAY,GEN_SONAR_MINE_T8:GAMEPLAY,GEN_SONAR_NAV_T8:GAMEPLAY,GEN_MAST_PHO_T8:GAMEPLAY,GEN_EOIR_T8:GAMEPLAY,GEN_RADAR_T8:GAMEPLAY,GEN_ESM_T8:GAMEPLAY,GEN_PROC_T8:GAMEPLAY
FR_SSBN_SNLE3G,France,SSBN,GEN_SONAR_PSV_T10:GAMEPLAY,GEN_SONAR_ACT_T10:GAMEPLAY,GEN_SONAR_BOW_T10:GAMEPLAY,GEN_SONAR_FLK_T10:GAMEPLAY,GEN_SONAR_TWD_T10:GAMEPLAY,GEN_SONAR_HF_T10:GAMEPLAY,GEN_SONAR_MINE_T10:GAMEPLAY,GEN_SONAR_NAV_T10:GAMEPLAY,GEN_MAST_PHO_T10:GAMEPLAY,GEN_EOIR_T10:GAMEPLAY,GEN_RADAR_T10:GAMEPLAY,GEN_ESM_T10:GAMEPLAY,GEN_PROC_T10:GAMEPLAY
CN_SSN_Type091,China,SSN,GEN_SONAR_PSV_T4:GAMEPLAY,GEN_SONAR_ACT_T4:GAMEPLAY,GEN_SONAR_BOW_T4:GAMEPLAY,GEN_SONAR_FLK_T4:GAMEPLAY,GEN_SONAR_TWD_T4:GAMEPLAY,GEN_SONAR_HF_T4:GAMEPLAY,GEN_SONAR_MINE_T4:GAMEPLAY,GEN_SONAR_NAV_T4:GAMEPLAY,GEN_MAST_PHO_T4:GAMEPLAY,GEN_EOIR_T4:GAMEPLAY,GEN_RADAR_T4:GAMEPLAY,GEN_ESM_T4:GAMEPLAY,GEN_PROC_T4:GAMEPLAY
